PROVIDER_NAME,ENROL_STATUS_DATE,Enrol_No
University of South Africa,18/FEB/06,30
University of South Africa,02/DEC/10,1085
University of South Africa,04/MAR/11,354
University of South Africa,02/JUL/11,168
University of South Africa,27/JAN/10,1288
University of South Africa,09/FEB/10,1241
University of South Africa,17/JAN/08,601
University of South Africa,03/JAN/05,381
University of South Africa,06/JAN/11,8031
University of South Africa,29/JUL/10,219
University of South Africa,02/FEB/12,2595
University of South Africa,27/JUN/12,946
University of South Africa,13/JUL/12,1481
University of South Africa,03/JUL/10,430
University of South Africa,28/FEB/07,164
University of South Africa,15/JAN/07,818
University of South Africa,26/FEB/08,295
University of South Africa,10/JAN/09,567
University of South Africa,26/JUN/13,415
University of South Africa,21/JAN/06,186
University of South Africa,04/DEC/07,216
University of South Africa,25/FEB/08,262
University of South Africa,03/FEB/06,235
University of South Africa,14/JUL/09,791
University of South Africa,10/JAN/07,338
University of South Africa,18/JAN/05,142
University of South Africa,13/DEC/10,1027
